Country Name,Country Code,Indicator Name,GDP,Year
Cameroon,CMR,GDP (current US$),10513387442,1996
"Congo, Dem. Rep.",COD,GDP (current US$),5771454940,1996
"Congo, Rep.",COG,GDP (current US$),2540697688,1996
Colombia,COL,GDP (current US$),97160109278,1996
Comoros,COM,GDP (current US$),396053797.6,1996
Cabo Verde,CPV,GDP (current US$),501979069.3,1996
Costa Rica,CRI,GDP (current US$),11618286652,1996
Caribbean small states,CSS,GDP (current US$),24055634514,1996
Cuba,CUB,GDP (current US$),25017368700,1996
Curacao,CUW,GDP (current US$),,1996
Cayman Islands,CYM,GDP (current US$),,1996
Cyprus,CYP,GDP (current US$),10011918444,1996
Czech Republic,CZE,GDP (current US$),67387788633,1996
Germany,DEU,GDP (current US$),2.50E+12,1996
Djibouti,DJI,GDP (current US$),494004647.7,1996
Dominica,DMA,GDP (current US$),292286000,1996
Denmark,DNK,GDP (current US$),1.88E+11,1996
Dominican Republic,DOM,GDP (current US$),18241691854,1996
Algeria,DZA,GDP (current US$),46941496780,1996
East Asia & Pacific (excluding high income),EAP,GDP (current US$),1.51E+12,1996
Early-demographic dividend,EAR,GDP (current US$),2.72E+12,1996
East Asia & Pacific,EAS,GDP (current US$),8.00E+12,1996
Europe & Central Asia (excluding high income),ECA,GDP (current US$),7.30E+11,1996
Europe & Central Asia,ECS,GDP (current US$),1.11E+13,1996
Ecuador,ECU,GDP (current US$),25226393197,1996
"Egypt, Arab Rep.",EGY,GDP (current US$),67629716981,1996
Euro area,EMU,GDP (current US$),7.61E+12,1996
Eritrea,ERI,GDP (current US$),693535954.2,1996
Spain,ESP,GDP (current US$),6.43E+11,1996
Estonia,EST,GDP (current US$),4780170373,1996
Ethiopia,ETH,GDP (current US$),8547939731,1996
European Union,EUU,GDP (current US$),8.43E+12,1996
Fragile and conflict affected situations,FCS,GDP (current US$),2.88E+11,1996
Finland,FIN,GDP (current US$),1.32E+11,1996
Fiji,FJI,GDP (current US$),2129266728,1996
France,FRA,GDP (current US$),1.61E+12,1996
Faroe Islands,FRO,GDP (current US$),,1996
"Micronesia, Fed. Sts.",FSM,GDP (current US$),218534700,1996
Gabon,GAB,GDP (current US$),5694040337,1996
United Kingdom,GBR,GDP (current US$),1.42E+12,1996
Georgia,GEO,GDP (current US$),3094935187,1996
Ghana,GHA,GDP (current US$),6934984709,1996
Gibraltar,GIB,GDP (current US$),,1996
Guinea,GIN,GDP (current US$),3869032271,1996
"Gambia, The",GMB,GDP (current US$),848237108.6,1996
Guinea-Bissau,GNB,GDP (current US$),270419779.4,1996
Equatorial Guinea,GNQ,GDP (current US$),232463036.4,1996
Greece,GRC,GDP (current US$),1.46E+11,1996
Grenada,GRD,GDP (current US$),366911444.4,1996
Greenland,GRL,GDP (current US$),1197509787,1996
Guatemala,GTM,GDP (current US$),15674835615,1996
Guam,GUM,GDP (current US$),,1996
Guyana,GUY,GDP (current US$),705406001.4,1996
High income,HIC,GDP (current US$),2.61E+13,1996
"Hong Kong SAR, China",HKG,GDP (current US$),1.60E+11,1996
Honduras,HND,GDP (current US$),5215028986,1996
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),1.40E+11,1996
Croatia,HRV,GDP (current US$),23846442649,1996
Haiti,HTI,GDP (current US$),2907514523,1996
Hungary,HUN,GDP (current US$),46658755152,1996
IBRD only,IBD,GDP (current US$),5.35E+12,1996
IDA & IBRD total,IBT,GDP (current US$),5.74E+12,1996
IDA total,IDA,GDP (current US$),3.90E+11,1996
IDA blend,IDB,GDP (current US$),1.72E+11,1996
Indonesia,IDN,GDP (current US$),2.27E+11,1996
IDA only,IDX,GDP (current US$),2.16E+11,1996
Isle of Man,IMN,GDP (current US$),1023086919,1996
India,IND,GDP (current US$),3.93E+11,1996
Not classified,INX,GDP (current US$),,1996
Ireland,IRL,GDP (current US$),75880630040,1996
"Iran, Islamic Rep.",IRN,GDP (current US$),1.20E+11,1996
Iraq,IRQ,GDP (current US$),,1996
Iceland,ISL,GDP (current US$),7438183248,1996
Israel,ISR,GDP (current US$),1.10E+11,1996
Italy,ITA,GDP (current US$),1.31E+12,1996
Jamaica,JAM,GDP (current US$),7368000000,1996
Jordan,JOR,GDP (current US$),6928359238,1996
Japan,JPN,GDP (current US$),4.83E+12,1996
Kazakhstan,KAZ,GDP (current US$),21035357833,1996
Kenya,KEN,GDP (current US$),12045858436,1996
Kyrgyz Republic,KGZ,GDP (current US$),1827570586,1996
Cambodia,KHM,GDP (current US$),3506695720,1996
Kiribati,KIR,GDP (current US$),66515376.79,1996
St. Kitts and Nevis,KNA,GDP (current US$),333944444.4,1996
"Korea, Rep.",KOR,GDP (current US$),6.10E+11,1996
Kuwait,KWT,GDP (current US$),31493319973,1996
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),1.90E+12,1996
Lao PDR,LAO,GDP (current US$),1873671550,1996
Lebanon,LBN,GDP (current US$),13690217333,1996
Liberia,LBR,GDP (current US$),,1996
Libya,LBY,GDP (current US$),27884615385,1996
St. Lucia,LCA,GDP (current US$),788888888.9,1996
Latin America & Caribbean,LCN,GDP (current US$),2.08E+12,1996
Least developed countries: UN classification,LDC,GDP (current US$),1.73E+11,1996
Low income,LIC,GDP (current US$),98861086920,1996
Liechtenstein,LIE,GDP (current US$),2504033252,1996
Sri Lanka,LKA,GDP (current US$),13897738375,1996
Lower middle income,LMC,GDP (current US$),1.06E+12,1996
Low & middle income,LMY,GDP (current US$),5.43E+12,1996
Lesotho,LSO,GDP (current US$),946123275.9,1996
Late-demographic dividend,LTE,GDP (current US$),3.33E+12,1996
Lithuania,LTU,GDP (current US$),8382519637,1996
Luxembourg,LUX,GDP (current US$),21776609772,1996
Latvia,LVA,GDP (current US$),5969114344,1996
"Macao SAR, China",MAC,GDP (current US$),7122539667,1996
St. Martin (French part),MAF,GDP (current US$),,1996
Morocco,MAR,GDP (current US$),43161452678,1996
Monaco,MCO,GDP (current US$),3137848801,1996
Moldova,MDA,GDP (current US$),1695122174,1996
Madagascar,MDG,GDP (current US$),4931861239,1996
Maldives,MDV,GDP (current US$),450382328,1996
Middle East & North Africa,MEA,GDP (current US$),8.03E+11,1996
Mexico,MEX,GDP (current US$),4.11E+11,1996
Marshall Islands,MHL,GDP (current US$),110858000,1996
Middle income,MIC,GDP (current US$),5.33E+12,1996
North Macedonia,MKD,GDP (current US$),4651453634,1996
Mali,MLI,GDP (current US$),2780422212,1996
Malta,MLT,GDP (current US$),3822882839,1996
Myanmar,MMR,GDP (current US$),,1996
Middle East & North Africa (excluding high income),MNA,GDP (current US$),3.95E+11,1996
Montenegro,MNE,GDP (current US$),,1996
Mongolia,MNG,GDP (current US$),1345719472,1996
Northern Mariana Islands,MNP,GDP (current US$),,1996
Mozambique,MOZ,GDP (current US$),3856799844,1996
Mauritania,MRT,GDP (current US$),2132081882,1996
Mauritius,MUS,GDP (current US$),4421943910,1996
Malawi,MWI,GDP (current US$),2281034131,1996
Malaysia,MYS,GDP (current US$),1.01E+11,1996
North America,NAC,GDP (current US$),8.70E+12,1996
Namibia,NAM,GDP (current US$),3945340776,1996
New Caledonia,NCL,GDP (current US$),3606968434,1996
Niger,NER,GDP (current US$),2405687081,1996
Nigeria,NGA,GDP (current US$),51075815093,1996
Nicaragua,NIC,GDP (current US$),4308351903,1996
Netherlands,NLD,GDP (current US$),4.50E+11,1996
Norway,NOR,GDP (current US$),1.64E+11,1996
Nepal,NPL,GDP (current US$),4521580381,1996
Nauru,NRU,GDP (current US$),,1996
New Zealand,NZL,GDP (current US$),70140835299,1996
OECD members,OED,GDP (current US$),2.58E+13,1996
Oman,OMN,GDP (current US$),15277763329,1996
Other small states,OSS,GDP (current US$),73971723115,1996
Pakistan,PAK,GDP (current US$),63320122807,1996
Panama,PAN,GDP (current US$),9870494000,1996
Peru,PER,GDP (current US$),55252414130,1996
Philippines,PHL,GDP (current US$),82848140618,1996
Palau,PLW,GDP (current US$),,1996
Papua New Guinea,PNG,GDP (current US$),5155311077,1996
Poland,POL,GDP (current US$),1.60E+11,1996
Pre-demographic dividend,PRE,GDP (current US$),1.93E+11,1996
Puerto Rico,PRI,GDP (current US$),45340835000,1996
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),,1996
Portugal,PRT,GDP (current US$),1.23E+11,1996
Paraguay,PRY,GDP (current US$),9788391781,1996
West Bank and Gaza,PSE,GDP (current US$),3409600000,1996
Pacific island small states,PSS,GDP (current US$),3973365283,1996
Post-demographic dividend,PST,GDP (current US$),2.50E+13,1996
French Polynesia,PYF,GDP (current US$),3954696874,1996
Qatar,QAT,GDP (current US$),9059340385,1996
Romania,ROU,GDP (current US$),36937074278,1996
Russian Federation,RUS,GDP (current US$),3.92E+11,1996
Rwanda,RWA,GDP (current US$),1382334879,1996
South Asia,SAS,GDP (current US$),5.25E+11,1996
Saudi Arabia,SAU,GDP (current US$),1.59E+11,1996
Sudan,SDN,GDP (current US$),9018243044,1996
Senegal,SEN,GDP (current US$),6413189839,1996
Singapore,SGP,GDP (current US$),96295886525,1996
Solomon Islands,SLB,GDP (current US$),505832211.8,1996
Sierra Leone,SLE,GDP (current US$),941742152.7,1996
El Salvador,SLV,GDP (current US$),9586327800,1996
San Marino,SMR,GDP (current US$),,1996
Somalia,SOM,GDP (current US$),,1996
Serbia,SRB,GDP (current US$),21818007449,1996
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),3.65E+11,1996
South Sudan,SSD,GDP (current US$),,1996
Sub-Saharan Africa,SSF,GDP (current US$),3.70E+11,1996
Small states,SST,GDP (current US$),1.02E+11,1996
Sao Tome and Principe,STP,GDP (current US$),,1996
Suriname,SUR,GDP (current US$),861411471.3,1996
Slovak Republic,SVK,GDP (current US$),27925036755,1996
Slovenia,SVN,GDP (current US$),21507232649,1996
Sweden,SWE,GDP (current US$),2.92E+11,1996
Eswatini,SWZ,GDP (current US$),1602760100,1996
Sint Maarten (Dutch part),SXM,GDP (current US$),,1996
Seychelles,SYC,GDP (current US$),503068472.2,1996
Syrian Arab Republic,SYR,GDP (current US$),13789560878,1996
Turks and Caicos Islands,TCA,GDP (current US$),,1996
Chad,TCD,GDP (current US$),1607345450,1996
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),1.51E+12,1996
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),9.51E+11,1996
Togo,TGO,GDP (current US$),1465448290,1996
Thailand,THA,GDP (current US$),1.83E+11,1996
Tajikistan,TJK,GDP (current US$),1043654822,1996
Turkmenistan,TKM,GDP (current US$),2378759975,1996
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),1.99E+12,1996
Timor-Leste,TLS,GDP (current US$),,1996
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),3.92E+11,1996
Tonga,TON,GDP (current US$),222100545.6,1996
South Asia (IDA & IBRD),TSA,GDP (current US$),5.25E+11,1996
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),3.70E+11,1996
Trinidad and Tobago,TTO,GDP (current US$),5759537726,1996
Tunisia,TUN,GDP (current US$),19587322786,1996
Turkey,TUR,GDP (current US$),1.81E+11,1996
Tuvalu,TUV,GDP (current US$),12334846.23,1996
Tanzania,TZA,GDP (current US$),6496195451,1996
Uganda,UGA,GDP (current US$),6044585327,1996
Ukraine,UKR,GDP (current US$),44558077827,1996
Upper middle income,UMC,GDP (current US$),4.27E+12,1996
Uruguay,URY,GDP (current US$),20515543039,1996
United States,USA,GDP (current US$),8.07E+12,1996
Uzbekistan,UZB,GDP (current US$),13948892216,1996
St. Vincent and the Grenadines,VCT,GDP (current US$),331489703.7,1996
"Venezuela, RB",VEN,GDP (current US$),70543211119,1996
British Virgin Islands,VGB,GDP (current US$),,1996
Virgin Islands (U.S.),VIR,GDP (current US$),,1996
Vietnam,VNM,GDP (current US$),24657470575,1996
Vanuatu,VUT,GDP (current US$),261370044.5,1996
World,WLD,GDP (current US$),3.16E+13,1996
Samoa,WSM,GDP (current US$),249908970.7,1996
Kosovo,XKX,GDP (current US$),,1996
"Yemen, Rep.",YEM,GDP (current US$),5785685311,1996
South Africa,ZAF,GDP (current US$),1.48E+11,1996
Zambia,ZMB,GDP (current US$),3597220962,1996
Zimbabwe,ZWE,GDP (current US$),8553146600,1996
Aruba,ABW,GDP (current US$),1531944134,1997
Afghanistan,AFG,GDP (current US$),,1997
Angola,AGO,GDP (current US$),7648377413,1997
Albania,ALB,GDP (current US$),2258515610,1997
Andorra,AND,GDP (current US$),1180597273,1997
Arab World,ARB,GDP (current US$),6.14E+11,1997
United Arab Emirates,ARE,GDP (current US$),78839008445,1997
Argentina,ARG,GDP (current US$),2.93E+11,1997
Armenia,ARM,GDP (current US$),1639492424,1997
American Samoa,ASM,GDP (current US$),,1997
Antigua and Barbuda,ATG,GDP (current US$),680618518.5,1997
Australia,AUS,GDP (current US$),4.35E+11,1997
Austria,AUT,GDP (current US$),2.13E+11,1997
Azerbaijan,AZE,GDP (current US$),3962735257,1997
Burundi,BDI,GDP (current US$),972896267.9,1997
Belgium,BEL,GDP (current US$),2.53E+11,1997
Benin,BEN,GDP (current US$),2268301538,1997
Burkina Faso,BFA,GDP (current US$),2447669404,1997
Bangladesh,BGD,GDP (current US$),48244309133,1997
Bulgaria,BGR,GDP (current US$),11315986087,1997
Bahrain,BHR,GDP (current US$),6349202394,1997
"Bahamas, The",BHS,GDP (current US$),6332360000,1997
Bosnia and Herzegovina,BIH,GDP (current US$),3671816504,1997
Belarus,BLR,GDP (current US$),14128408566,1997
Belize,BLZ,GDP (current US$),654314350,1997
Bermuda,BMU,GDP (current US$),2932827000,1997
Bolivia,BOL,GDP (current US$),7925673448,1997
Brazil,BRA,GDP (current US$),8.83E+11,1997
Barbados,BRB,GDP (current US$),2498384130,1997
Brunei Darussalam,BRN,GDP (current US$),5197332974,1997
Bhutan,BTN,GDP (current US$),365964500.1,1997
Botswana,BWA,GDP (current US$),5020214747,1997
Central African Republic,CAF,GDP (current US$),937741468,1997
Canada,CAN,GDP (current US$),6.53E+11,1997
Central Europe and the Baltics,CEB,GDP (current US$),4.10E+11,1997
Switzerland,CHE,GDP (current US$),2.87E+11,1997
Channel Islands,CHI,GDP (current US$),,1997
Chile,CHL,GDP (current US$),84952360922,1997
China,CHN,GDP (current US$),9.62E+11,1997
Cote d'Ivoire,CIV,GDP (current US$),11722142706,1997
Cameroon,CMR,GDP (current US$),10833497458,1997
"Congo, Dem. Rep.",COD,GDP (current US$),6090840548,1997
"Congo, Rep.",COG,GDP (current US$),2322718991,1997
Colombia,COL,GDP (current US$),1.07E+11,1997
Comoros,COM,GDP (current US$),364445589.7,1997
Cabo Verde,CPV,GDP (current US$),490608657.9,1997
Costa Rica,CRI,GDP (current US$),12552071488,1997
Caribbean small states,CSS,GDP (current US$),28177583294,1997
Cuba,CUB,GDP (current US$),25365908100,1997
Curacao,CUW,GDP (current US$),,1997
Cayman Islands,CYM,GDP (current US$),,1997
Cyprus,CYP,GDP (current US$),9547818700,1997
Czech Republic,CZE,GDP (current US$),62180159376,1997
Germany,DEU,GDP (current US$),2.21E+12,1997
Djibouti,DJI,GDP (current US$),502675542,1997
Dominica,DMA,GDP (current US$),302989185.2,1997
Denmark,DNK,GDP (current US$),1.74E+11,1997
Dominican Republic,DOM,GDP (current US$),20017908832,1997
Algeria,DZA,GDP (current US$),48177862502,1997
East Asia & Pacific (excluding high income),EAP,GDP (current US$),1.56E+12,1997
Early-demographic dividend,EAR,GDP (current US$),2.91E+12,1997
East Asia & Pacific,EAS,GDP (current US$),7.66E+12,1997
Europe & Central Asia (excluding high income),ECA,GDP (current US$),7.62E+11,1997
Europe & Central Asia,ECS,GDP (current US$),1.05E+13,1997
Ecuador,ECU,GDP (current US$),28162053027,1997
"Egypt, Arab Rep.",EGY,GDP (current US$),78436578171,1997
Euro area,EMU,GDP (current US$),6.95E+12,1997
Eritrea,ERI,GDP (current US$),686490090.1,1997
Spain,ESP,GDP (current US$),5.90E+11,1997
Estonia,EST,GDP (current US$),5147710775,1997
Ethiopia,ETH,GDP (current US$),8589211390,1997
European Union,EUU,GDP (current US$),7.73E+12,1997
Fragile and conflict affected situations,FCS,GDP (current US$),3.21E+11,1997
Finland,FIN,GDP (current US$),1.27E+11,1997
Fiji,FJI,GDP (current US$),2093994597,1997
France,FRA,GDP (current US$),1.45E+12,1997
Faroe Islands,FRO,GDP (current US$),,1997
"Micronesia, Fed. Sts.",FSM,GDP (current US$),206626300,1997
Gabon,GAB,GDP (current US$),5326816859,1997
United Kingdom,GBR,GDP (current US$),1.56E+12,1997
Georgia,GEO,GDP (current US$),3510520231,1997
Ghana,GHA,GDP (current US$),6891308594,1997
Gibraltar,GIB,GDP (current US$),,1997
Guinea,GIN,GDP (current US$),3783788551,1997
"Gambia, The",GMB,GDP (current US$),803630742.5,1997
Guinea-Bissau,GNB,GDP (current US$),268550998.2,1997
Equatorial Guinea,GNQ,GDP (current US$),442337849.5,1997
Greece,GRC,GDP (current US$),1.43E+11,1997
Grenada,GRD,GDP (current US$),392190592.6,1997
Greenland,GRL,GDP (current US$),1072147778,1997
Guatemala,GTM,GDP (current US$),17790026222,1997
Guam,GUM,GDP (current US$),,1997
Guyana,GUY,GDP (current US$),749138009.6,1997
High income,HIC,GDP (current US$),2.57E+13,1997
"Hong Kong SAR, China",HKG,GDP (current US$),1.77E+11,1997
Honduras,HND,GDP (current US$),5737099650,1997
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),1.46E+11,1997
Croatia,HRV,GDP (current US$),23869243598,1997
Haiti,HTI,GDP (current US$),3338938830,1997
Hungary,HUN,GDP (current US$),47296952929,1997
IBRD only,IBD,GDP (current US$),5.66E+12,1997
IDA & IBRD total,IBT,GDP (current US$),6.07E+12,1997
IDA total,IDA,GDP (current US$),4.04E+11,1997
IDA blend,IDB,GDP (current US$),1.76E+11,1997
Indonesia,IDN,GDP (current US$),2.16E+11,1997
IDA only,IDX,GDP (current US$),2.27E+11,1997
Isle of Man,IMN,GDP (current US$),1180919719,1997
India,IND,GDP (current US$),4.16E+11,1997
Not classified,INX,GDP (current US$),,1997
Ireland,IRL,GDP (current US$),82826141356,1997
"Iran, Islamic Rep.",IRN,GDP (current US$),1.14E+11,1997
Iraq,IRQ,GDP (current US$),,1997
Iceland,ISL,GDP (current US$),7580988981,1997
Israel,ISR,GDP (current US$),1.15E+11,1997
Italy,ITA,GDP (current US$),1.24E+12,1997
Jamaica,JAM,GDP (current US$),8375077443,1997
Jordan,JOR,GDP (current US$),7246188575,1997
Japan,JPN,GDP (current US$),4.41E+12,1997
Kazakhstan,KAZ,GDP (current US$),22165932063,1997
Kenya,KEN,GDP (current US$),13115773738,1997
Kyrgyz Republic,KGZ,GDP (current US$),1767864036,1997
Cambodia,KHM,GDP (current US$),3443413389,1997
Kiribati,KIR,GDP (current US$),67537479.59,1997
St. Kitts and Nevis,KNA,GDP (current US$),374641308,1997
"Korea, Rep.",KOR,GDP (current US$),5.70E+11,1997
Kuwait,KWT,GDP (current US$),30355093966,1997
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),2.09E+12,1997
Lao PDR,LAO,GDP (current US$),1747011857,1997
Lebanon,LBN,GDP (current US$),15751867489,1997
Liberia,LBR,GDP (current US$),,1997
Libya,LBY,GDP (current US$),30698633109,1997
St. Lucia,LCA,GDP (current US$),805925925.9,1997
Latin America & Caribbean,LCN,GDP (current US$),2.28E+12,1997
Least developed countries: UN classification,LDC,GDP (current US$),1.83E+11,1997
Low income,LIC,GDP (current US$),1.06E+11,1997
Liechtenstein,LIE,GDP (current US$),2298410391,1997
Sri Lanka,LKA,GDP (current US$),15091913884,1997
Lower middle income,LMC,GDP (current US$),1.11E+12,1997
Low & middle income,LMY,GDP (current US$),5.75E+12,1997
Lesotho,LSO,GDP (current US$),997996028.6,1997
Late-demographic dividend,LTE,GDP (current US$),3.48E+12,1997
Lithuania,LTU,GDP (current US$),10118631852,1997
Luxembourg,LUX,GDP (current US$),19731912494,1997
Latvia,LVA,GDP (current US$),6521609001,1997
"Macao SAR, China",MAC,GDP (current US$),7211264780,1997
St. Martin (French part),MAF,GDP (current US$),,1997
Morocco,MAR,GDP (current US$),39147844526,1997
Monaco,MCO,GDP (current US$),2840182221,1997
Moldova,MDA,GDP (current US$),1930081169,1997
Madagascar,MDG,GDP (current US$),4262965282,1997
Maldives,MDV,GDP (current US$),508223602.4,1997
Middle East & North Africa,MEA,GDP (current US$),8.33E+11,1997
Mexico,MEX,GDP (current US$),5.00E+11,1997
Marshall Islands,MHL,GDP (current US$),110705600,1997
Middle income,MIC,GDP (current US$),5.64E+12,1997
North Macedonia,MKD,GDP (current US$),3928975904,1997
Mali,MLI,GDP (current US$),2697105694,1997
Malta,MLT,GDP (current US$),3793418472,1997
Myanmar,MMR,GDP (current US$),,1997
Middle East & North Africa (excluding high income),MNA,GDP (current US$),4.06E+11,1997
Montenegro,MNE,GDP (current US$),,1997
Mongolia,MNG,GDP (current US$),1180934203,1997
Northern Mariana Islands,MNP,GDP (current US$),,1997
Mozambique,MOZ,GDP (current US$),4648832184,1997
Mauritania,MRT,GDP (current US$),2072001067,1997
Mauritius,MUS,GDP (current US$),4187367602,1997
Malawi,MWI,GDP (current US$),2663234934,1997
Malaysia,MYS,GDP (current US$),1.00E+11,1997
North America,NAC,GDP (current US$),9.23E+12,1997
Namibia,NAM,GDP (current US$),4102648720,1997
New Caledonia,NCL,GDP (current US$),3291489841,1997
Niger,NER,GDP (current US$),2290318800,1997
Nigeria,NGA,GDP (current US$),54457835193,1997
Nicaragua,NIC,GDP (current US$),4389965591,1997
Netherlands,NLD,GDP (current US$),4.17E+11,1997
Norway,NOR,GDP (current US$),1.61E+11,1997
Nepal,NPL,GDP (current US$),4918691917,1997
Nauru,NRU,GDP (current US$),,1997
New Zealand,NZL,GDP (current US$),66075143415,1997
OECD members,OED,GDP (current US$),2.54E+13,1997
Oman,OMN,GDP (current US$),15837451235,1997
Other small states,OSS,GDP (current US$),76830068785,1997
Pakistan,PAK,GDP (current US$),62433300338,1997
Panama,PAN,GDP (current US$),10677286100,1997
Peru,PER,GDP (current US$),58147522523,1997
Philippines,PHL,GDP (current US$),82344260571,1997
Palau,PLW,GDP (current US$),,1997
Papua New Guinea,PNG,GDP (current US$),4936615299,1997
Poland,POL,GDP (current US$),1.59E+11,1997
Pre-demographic dividend,PRE,GDP (current US$),2.04E+11,1997
Puerto Rico,PRI,GDP (current US$),48187039000,1997
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),,1997
Portugal,PRT,GDP (current US$),1.17E+11,1997
Paraguay,PRY,GDP (current US$),9965225678,1997
West Bank and Gaza,PSE,GDP (current US$),3759800000,1997
Pacific island small states,PSS,GDP (current US$),3991551510,1997
Post-demographic dividend,PST,GDP (current US$),2.45E+13,1997
French Polynesia,PYF,GDP (current US$),3567062512,1997
Qatar,QAT,GDP (current US$),11297802115,1997
Romania,ROU,GDP (current US$),35574916295,1997
Russian Federation,RUS,GDP (current US$),4.05E+11,1997
Rwanda,RWA,GDP (current US$),1851558302,1997
South Asia,SAS,GDP (current US$),5.51E+11,1997
Saudi Arabia,SAU,GDP (current US$),1.66E+11,1997
Sudan,SDN,GDP (current US$),11681494637,1997
Senegal,SEN,GDP (current US$),5915250258,1997
Singapore,SGP,GDP (current US$),1.00E+11,1997
Solomon Islands,SLB,GDP (current US$),529204444.6,1997
Sierra Leone,SLE,GDP (current US$),850218033.6,1997
El Salvador,SLV,GDP (current US$),10221705900,1997
San Marino,SMR,GDP (current US$),,1997
Somalia,SOM,GDP (current US$),,1997
Serbia,SRB,GDP (current US$),25676488000,1997
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),3.79E+11,1997
South Sudan,SSD,GDP (current US$),,1997
Sub-Saharan Africa,SSF,GDP (current US$),3.84E+11,1997
Small states,SST,GDP (current US$),1.09E+11,1997
Sao Tome and Principe,STP,GDP (current US$),,1997
Suriname,SUR,GDP (current US$),926422500,1997
Slovak Republic,SVK,GDP (current US$),27706028096,1997
Slovenia,SVN,GDP (current US$),20763101741,1997
Sweden,SWE,GDP (current US$),2.68E+11,1997
Eswatini,SWZ,GDP (current US$),1716699913,1997
Sint Maarten (Dutch part),SXM,GDP (current US$),,1997
Seychelles,SYC,GDP (current US$),562958836.5,1997
Syrian Arab Republic,SYR,GDP (current US$),14505233969,1997
Turks and Caicos Islands,TCA,GDP (current US$),,1997
Chad,TCD,GDP (current US$),1544689503,1997
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),1.56E+12,1997
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),9.81E+11,1997
Togo,TGO,GDP (current US$),1498950899,1997
Thailand,THA,GDP (current US$),1.50E+11,1997
Tajikistan,TJK,GDP (current US$),921572114.5,1997
Turkmenistan,TKM,GDP (current US$),2450349634,1997
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),2.19E+12,1997
Timor-Leste,TLS,GDP (current US$),,1997
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),4.02E+11,1997
Tonga,TON,GDP (current US$),214991477.8,1997
South Asia (IDA & IBRD),TSA,GDP (current US$),5.51E+11,1997
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),3.84E+11,1997
Trinidad and Tobago,TTO,GDP (current US$),5737751332,1997
Tunisia,TUN,GDP (current US$),20746360430,1997
Turkey,TUR,GDP (current US$),1.90E+11,1997
Tuvalu,TUV,GDP (current US$),12700905.45,1997
Tanzania,TZA,GDP (current US$),7683852497,1997
Uganda,UGA,GDP (current US$),6269333313,1997
Ukraine,UKR,GDP (current US$),50150399792,1997
Upper middle income,UMC,GDP (current US$),4.54E+12,1997
Uruguay,URY,GDP (current US$),23969823009,1997
United States,USA,GDP (current US$),8.58E+12,1997
Uzbekistan,UZB,GDP (current US$),14744603774,1997
St. Vincent and the Grenadines,VCT,GDP (current US$),347770000,1997
"Venezuela, RB",VEN,GDP (current US$),85843534589,1997
British Virgin Islands,VGB,GDP (current US$),,1997
Virgin Islands (U.S.),VIR,GDP (current US$),,1997
Vietnam,VNM,GDP (current US$),26843700442,1997
Vanuatu,VUT,GDP (current US$),272771209.1,1997
World,WLD,GDP (current US$),3.15E+13,1997
Samoa,WSM,GDP (current US$),285475591.9,1997
Kosovo,XKX,GDP (current US$),,1997
"Yemen, Rep.",YEM,GDP (current US$),6838557384,1997
South Africa,ZAF,GDP (current US$),1.53E+11,1997
Zambia,ZMB,GDP (current US$),4303281932,1997
Zimbabwe,ZWE,GDP (current US$),8529571600,1997
Aruba,ABW,GDP (current US$),1665100559,1998
Afghanistan,AFG,GDP (current US$),,1998
Angola,AGO,GDP (current US$),6506229607,1998
Albania,ALB,GDP (current US$),2545967253,1998
Andorra,AND,GDP (current US$),1211932398,1998
Arab World,ARB,GDP (current US$),5.92E+11,1998
United Arab Emirates,ARE,GDP (current US$),75674336283,1998
Argentina,ARG,GDP (current US$),2.99E+11,1998
Armenia,ARM,GDP (current US$),1893726437,1998
American Samoa,ASM,GDP (current US$),,1998
Antigua and Barbuda,ATG,GDP (current US$),727859259.3,1998
Australia,AUS,GDP (current US$),3.99E+11,1998
Austria,AUT,GDP (current US$),2.18E+11,1998
Azerbaijan,AZE,GDP (current US$),4446370371,1998
Burundi,BDI,GDP (current US$),893770806.1,1998
Belgium,BEL,GDP (current US$),2.59E+11,1998
Benin,BEN,GDP (current US$),2455092582,1998
Burkina Faso,BFA,GDP (current US$),2804902724,1998
Bangladesh,BGD,GDP (current US$),49984559471,1998
Bulgaria,BGR,GDP (current US$),15030695297,1998
Bahrain,BHR,GDP (current US$),6183776596,1998
"Bahamas, The",BHS,GDP (current US$),6833220000,1998
